city	state	MSA Name_Cleaned
Holtsville	NY	New York-Northern New Jersey-Long Island, NY-NJ-PA 
Holtsville	NY	New York-Northern New Jersey-Long Island, NY-NJ-PA 
Adjuntas	PR	PR NONMETROPOLITAN AREA
Aguada	PR	Aguadilla-Isabela-San Sebastian, PR 
Aguadilla	PR	Aguadilla-Isabela-San Sebastian, PR 
Aguadilla	PR	Aguadilla-Isabela-San Sebastian, PR 
Aguadilla	PR	Aguadilla-Isabela-San Sebastian, PR 
Maricao	PR	PR NONMETROPOLITAN AREA
Anasco	PR	Aguadilla-Isabela-San Sebastian, PR 
Angeles	PR	PR NONMETROPOLITAN AREA
Arecibo	PR	San Juan-Caguas-Guaynabo, PR 
Arecibo	PR	San Juan-Caguas-Guaynabo, PR 
Arecibo	PR	San Juan-Caguas-Guaynabo, PR 
Bajadero	PR	San Juan-Caguas-Guaynabo, PR 
Barceloneta	PR	San Juan-Caguas-Guaynabo, PR 
Boqueron	PR	San German-Cabo Rojo, PR 
Cabo Rojo	PR	San German-Cabo Rojo, PR 
Penuelas	PR	Yauco, PR 
Camuy	PR	San Juan-Caguas-Guaynabo, PR 
Castaner	PR	Aguadilla-Isabela-San Sebastian, PR 
Rosario	PR	San German-Cabo Rojo, PR 
Sabana Grande	PR	San German-Cabo Rojo, PR 
Ciales	PR	San Juan-Caguas-Guaynabo, PR 
Utuado	PR	PR NONMETROPOLITAN AREA
Dorado	PR	San Juan-Caguas-Guaynabo, PR 
Ensenada	PR	Yauco, PR 
Florida	PR	San Juan-Caguas-Guaynabo, PR 
Garrochales	PR	San Juan-Caguas-Guaynabo, PR 
Guanica	PR	Yauco, PR 
Guayanilla	PR	Yauco, PR 
Hatillo	PR	San Juan-Caguas-Guaynabo, PR 
Hormigueros	PR	Mayaguez, PR 
Isabela	PR	Aguadilla-Isabela-San Sebastian, PR 
Jayuya	PR	PR NONMETROPOLITAN AREA
Lajas	PR	San German-Cabo Rojo, PR 
Lares	PR	Aguadilla-Isabela-San Sebastian, PR 
Las Marias	PR	PR NONMETROPOLITAN AREA
Manati	PR	San Juan-Caguas-Guaynabo, PR 
Moca	PR	Aguadilla-Isabela-San Sebastian, PR 
Rincon	PR	Aguadilla-Isabela-San Sebastian, PR 
Quebradillas	PR	San Juan-Caguas-Guaynabo, PR 
Mayaguez	PR	Mayaguez, PR 
Mayaguez	PR	Mayaguez, PR 
Mayaguez	PR	Mayaguez, PR 
San German	PR	San German-Cabo Rojo, PR 
